Target,Table,Dataset,Theme,Subtheme,Tablequeryname,Indicatorcode,DecimalprecisionQuerylevel,IndicatorLabelEN,GlossaryDefinitionConcept1,GlossaryDefinitionConcept2,REGIONALSUMSTATUS
4.4,4.4.3,Goal 4,"Target 4.4: By 2030, substantially increase the number of youth and adults who have relevant skills, including technical and vocational skills, for employment, decent jobs and entrepreneurship",4.4.3 Youth/adult educational attainment rates by age group and level of education,"4.3.2 Gross attendance ratio for tertiary education by sex, location and wealth quintile (household survey data)",EA.3T8.AG25T99.RUR,,"Educational attainment rate, completed upper secondary education or higher, population 25+ years, rural, both sexes (%)",Youth/adult educational attainment rates by age group and level of education,Educational attainment ,
4.4,4.4.3,Goal 4,"Target 4.4: By 2030, substantially increase the number of youth and adults who have relevant skills, including technical and vocational skills, for employment, decent jobs and entrepreneurship",4.4.3 Youth/adult educational attainment rates by age group and level of education,"4.3.2 Gross attendance ratio for tertiary education by sex, location and wealth quintile (household survey data)",EA.3T8.AG25T99.RUR.F,,"Educational attainment rate, completed upper secondary education or higher, population 25+ years, rural, female (%)",Youth/adult educational attainment rates by age group and level of education,Educational attainment ,
4.4,4.4.3,Goal 4,"Target 4.4: By 2030, substantially increase the number of youth and adults who have relevant skills, including technical and vocational skills, for employment, decent jobs and entrepreneurship",4.4.3 Youth/adult educational attainment rates by age group and level of education,"4.3.2 Gross attendance ratio for tertiary education by sex, location and wealth quintile (household survey data)",EA.3T8.AG25T99.RUR.M,,"Educational attainment rate, completed upper secondary education or higher, population 25+ years, rural, male (%)",Youth/adult educational attainment rates by age group and level of education,Educational attainment ,
4.4,4.4.3,Goal 4,"Target 4.4: By 2030, substantially increase the number of youth and adults who have relevant skills, including technical and vocational skills, for employment, decent jobs and entrepreneurship",4.4.3 Youth/adult educational attainment rates by age group and level of education,"4.3.2 Gross attendance ratio for tertiary education by sex, location and wealth quintile (household survey data)",EA.4T8.AG25T99.RUR,,"Educational attainment rate, completed post-secondary non-tertiary education or higher, population 25+ years, rural, both sexes (%)",Youth/adult educational attainment rates by age group and level of education,Educational attainment ,
4.4,4.4.3,Goal 4,"Target 4.4: By 2030, substantially increase the number of youth and adults who have relevant skills, including technical and vocational skills, for employment, decent jobs and entrepreneurship",4.4.3 Youth/adult educational attainment rates by age group and level of education,"4.3.2 Gross attendance ratio for tertiary education by sex, location and wealth quintile (household survey data)",EA.4T8.AG25T99.RUR.F,,"Educational attainment rate, completed post-secondary non-tertiary education or higher, population 25+ years, rural, female (%)",Youth/adult educational attainment rates by age group and level of education,Educational attainment ,
4.4,4.4.3,Goal 4,"Target 4.4: By 2030, substantially increase the number of youth and adults who have relevant skills, including technical and vocational skills, for employment, decent jobs and entrepreneurship",4.4.3 Youth/adult educational attainment rates by age group and level of education,"4.3.2 Gross attendance ratio for tertiary education by sex, location and wealth quintile (household survey data)",EA.4T8.AG25T99.RUR.M,,"Educational attainment rate, completed post-secondary non-tertiary education or higher, population 25+ years, rural, male (%)",Youth/adult educational attainment rates by age group and level of education,Educational attainment ,
4.4,4.4.3,Goal 4,"Target 4.4: By 2030, substantially increase the number of youth and adults who have relevant skills, including technical and vocational skills, for employment, decent jobs and entrepreneurship",4.4.3 Youth/adult educational attainment rates by age group and level of education,"4.3.2 Gross attendance ratio for tertiary education by sex, location and wealth quintile (household survey data)",EA.5T8.AG25T99.RUR,,"Educational attainment rate, completed short-cycle tertiary education or higher, population 25+ years, rural, both sexes (%)",Youth/adult educational attainment rates by age group and level of education,Educational attainment ,
4.4,4.4.3,Goal 4,"Target 4.4: By 2030, substantially increase the number of youth and adults who have relevant skills, including technical and vocational skills, for employment, decent jobs and entrepreneurship",4.4.3 Youth/adult educational attainment rates by age group and level of education,"4.3.2 Gross attendance ratio for tertiary education by sex, location and wealth quintile (household survey data)",EA.5T8.AG25T99.RUR.F,,"Educational attainment rate, completed short-cycle tertiary education or higher, population 25+ years, rural, female (%)",Youth/adult educational attainment rates by age group and level of education,Educational attainment ,
4.4,4.4.3,Goal 4,"Target 4.4: By 2030, substantially increase the number of youth and adults who have relevant skills, including technical and vocational skills, for employment, decent jobs and entrepreneurship",4.4.3 Youth/adult educational attainment rates by age group and level of education,"4.3.2 Gross attendance ratio for tertiary education by sex, location and wealth quintile (household survey data)",EA.5T8.AG25T99.RUR.M,,"Educational attainment rate, completed short-cycle tertiary education or higher, population 25+ years, rural, male (%)",Youth/adult educational attainment rates by age group and level of education,Educational attainment ,
4.4,4.4.3,Goal 4,"Target 4.4: By 2030, substantially increase the number of youth and adults who have relevant skills, including technical and vocational skills, for employment, decent jobs and entrepreneurship",4.4.3 Youth/adult educational attainment rates by age group and level of education,"4.3.2 Gross attendance ratio for tertiary education by sex, location and wealth quintile (household survey data)",EA.6T8.AG25T99.RUR,,"Educational attainment rate, completed Bachelor's or equivalent education or higher, population 25+ years, rural, both sexes (%)",Youth/adult educational attainment rates by age group and level of education,Educational attainment ,
4.4,4.4.3,Goal 4,"Target 4.4: By 2030, substantially increase the number of youth and adults who have relevant skills, including technical and vocational skills, for employment, decent jobs and entrepreneurship",4.4.3 Youth/adult educational attainment rates by age group and level of education,"4.3.2 Gross attendance ratio for tertiary education by sex, location and wealth quintile (household survey data)",EA.6T8.AG25T99.RUR.F,,"Educational attainment rate, completed Bachelor's or equivalent education or higher, population 25+ years, rural, female (%)",Youth/adult educational attainment rates by age group and level of education,Educational attainment ,
